home_loc,dest_loc,HomeTAZfactor,superD_dest,n,dest_lat,dest_lon,HomeTAZ,home_lat,home_lon,opt_time,pes_time,transit_time
37.3366530204082+-122.052628408163,37.3010931597673+-121.989369051801,487,10.0,760,37.30109316,-121.9893691,487,37.33665302,-122.0526284,635.0,1049.0,4074.0
37.3377909803922+-121.874698235294,37.3207019697235+-121.904550622856,554,11.0,815,37.32070197,-121.9045506,554,37.33779098,-121.8746982,373.0,525.0,1667.0
37.3389948857143+-121.864014542857,37.3207019697235+-121.904550622856,553,11.0,847,37.32070197,-121.9045506,553,37.33899489,-121.8640145,396.0,535.0,2601.0
37.3410892073171+-122.029312219512,37.3787519414778+-121.994584766866,457,9.0,711,37.37875194,-121.9945848,457,37.34108921,-122.0293122,708.0,941.0,4017.0
37.3412277222222+-121.889180811111,37.3207019697235+-121.904550622856,549,11.0,1360,37.32070197,-121.9045506,549,37.34122772,-121.8891808,373.0,626.0,1536.0
37.3414414193548+-121.858690935484,37.3207019697235+-121.904550622856,552,11.0,839,37.32070197,-121.9045506,552,37.34144142,-121.8586909,346.0,469.0,2262.0
37.3417755+-121.825941833333,37.3861960858995+-121.866317929335,588,12.0,1006,37.38619609,-121.8663179,588,37.3417755,-121.8259418,537.0,734.0,2301.0
37.3421954413146+-121.983116953052,37.3010931597673+-121.989369051801,440,10.0,683,37.30109316,-121.9893691,440,37.34219544,-121.983117,514.0,865.0,2487.0
37.3421954413146+-121.983116953052,37.3787519414778+-121.994584766866,440,9.0,1103,37.37875194,-121.9945848,440,37.34219544,-121.983117,423.0,617.0,2669.0
37.3426462777778+-121.900067896296,37.3207019697235+-121.904550622856,546,11.0,814,37.32070197,-121.9045506,546,37.34264628,-121.9000679,478.0,699.0,1820.0
37.343156300813+-122.001208235772,37.3010931597673+-121.989369051801,459,10.0,709,37.30109316,-121.9893691,459,37.3431563,-122.0012082,471.0,772.0,3587.0
