HomeTAZfactor,superD_dest,taz_driving,taz_transit,commuter_count,home_lat,home_lon,dest_lat,dest_lon
34,18.0,44.0,80.0,53,37.79848278205128,-122.41993732051282,37.79525905351587,-122.23454234396391
34,19.0,48.0,61.0,43,37.79848278205128,-122.41993732051282,37.86314654588441,-122.27415722294221
35,1.0,8.0,13.0,1154,37.79719663,-122.414966,37.788717654718205,-122.40900092053552
35,2.0,13.0,34.0,233,37.79719663,-122.414966,37.78494491888719,-122.44528827456274
35,3.0,26.0,35.0,198,37.79719663,-122.414966,37.75073743885415,-122.42052814221317
35,4.0,31.0,42.0,31,37.79719662937063,-122.41496601748251,37.742438374444,-122.4808705677315
35,5.0,36.0,91.0,59,37.79719662937063,-122.41496601748251,37.65355542190556,-122.44983365772562
35,18.0,47.0,70.0,77,37.79719662937063,-122.41496601748251,37.79525905351587,-122.23454234396391
35,19.0,37.0,62.0,22,37.79719662937063,-122.41496601748251,37.86314654588441,-122.27415722294221
36,1.0,8.0,10.0,1057,37.7988565,-122.4120025,37.788717654718205,-122.40900092053552
36,2.0,16.0,53.0,177,37.7988565,-122.41200254166665,37.78494491888719,-122.44528827456274
36,3.0,32.0,31.0,130,37.7988565,-122.41200254166665,37.75073743885415,-122.42052814221317
36,4.0,31.0,42.0,25,37.7988565,-122.41200254166665,37.742438374444,-122.4808705677315
36,5.0,33.0,82.0,33,37.7988565,-122.41200254166665,37.65355542190556,-122.44983365772562
36,18.0,35.0,65.0,30,37.7988565,-122.41200254166665,37.79525905351587,-122.23454234396391
37,1.0,10.0,13.0,1062,37.80024413,-122.4083894,37.788717654718205,-122.40900092053552
37,2.0,17.0,38.0,177,37.80024412883436,-122.40838939263803,37.78494491888719,-122.44528827456274
37,3.0,34.0,25.0,146,37.80024412883436,-122.40838939263803,37.75073743885415,-122.42052814221317
37,4.0,34.0,41.0,26,37.80024412883436,-122.40838939263803,37.742438374444,-122.4808705677315
37,5.0,39.0,63.0,38,37.80024412883436,-122.40838939263803,37.65355542190556,-122.44983365772562
37,18.0,41.0,64.0,39,37.80024412883436,-122.40838939263803,37.79525905351587,-122.23454234396391
38,1.0,13.0,20.0,1214,37.80268056,-122.4062762,37.788717654718205,-122.40900092053552
38,2.0,19.0,39.0,183,37.80268055913979,-122.40627620788531,37.78494491888719,-122.44528827456274
38,3.0,32.0,38.0,192,37.80268056,-122.4062762,37.75073743885415,-122.42052814221317
38,4.0,32.0,47.0,34,37.80268055913979,-122.40627620788531,37.742438374444,-122.4808705677315
