,HomeTAZfactor,superD_dest,taz_driving,taz_transit,commuter_count,home_lat,home_lon,dest_lat,dest_lon,line,geometry
90,25,1.0,7.0,10.0,617,37.79513156,-122.407338,37.78871765471821,-122.4090009205355,"LINESTRING (-122.407338 37.79513156, -122.4090009205355 37.78871765471821)","LINESTRING (-122.407338 37.79513156, -122.4090009205355 37.78871765471821)"
91,25,2.0,18.0,29.0,117,37.795131555555564,-122.407338,37.784944918887184,-122.44528827456274,"LINESTRING (-122.407338 37.79513155555556, -122.4452882745627 37.78494491888718)","LINESTRING (-122.407338 37.79513155555556, -122.4452882745627 37.78494491888718)"
92,25,3.0,32.0,26.0,94,37.795131555555564,-122.407338,37.75073743885415,-122.42052814221316,"LINESTRING (-122.407338 37.79513155555556, -122.4205281422132 37.75073743885415)","LINESTRING (-122.407338 37.79513155555556, -122.4205281422132 37.75073743885415)"
93,25,5.0,34.0,59.0,21,37.795131555555564,-122.407338,37.65355542190556,-122.44983365772562,"LINESTRING (-122.407338 37.79513155555556, -122.4498336577256 37.65355542190556)","LINESTRING (-122.407338 37.79513155555556, -122.4498336577256 37.65355542190556)"
94,26,1.0,5.0,8.0,323,37.7929451,-122.40730079999999,37.78871765471821,-122.4090009205355,"LINESTRING (-122.4073008 37.7929451, -122.4090009205355 37.78871765471821)","LINESTRING (-122.4073008 37.7929451, -122.4090009205355 37.78871765471821)"
95,26,2.0,15.0,26.0,54,37.7929451,-122.40730079999999,37.784944918887184,-122.44528827456274,"LINESTRING (-122.4073008 37.7929451, -122.4452882745627 37.78494491888718)","LINESTRING (-122.4073008 37.7929451, -122.4452882745627 37.78494491888718)"
96,26,3.0,30.0,24.0,59,37.7929451,-122.40730079999999,37.75073743885415,-122.42052814221316,"LINESTRING (-122.4073008 37.7929451, -122.4205281422132 37.75073743885415)","LINESTRING (-122.4073008 37.7929451, -122.4205281422132 37.75073743885415)"
97,27,1.0,6.0,5.0,697,37.79383783,-122.4090675,37.78871765471821,-122.4090009205355,"LINESTRING (-122.4090675 37.79383783, -122.4090009205355 37.78871765471821)","LINESTRING (-122.4090675 37.79383783, -122.4090009205355 37.78871765471821)"
98,27,2.0,17.0,26.0,131,37.79383782954546,-122.40906745454544,37.784944918887184,-122.44528827456274,"LINESTRING (-122.4090674545454 37.79383782954546, -122.4452882745627 37.78494491888718)","LINESTRING (-122.4090674545454 37.79383782954546, -122.4452882745627 37.78494491888718)"
99,27,3.0,32.0,28.0,86,37.79383782954546,-122.40906745454544,37.75073743885415,-122.42052814221316,"LINESTRING (-122.4090674545454 37.79383782954546, -122.4205281422132 37.75073743885415)","LINESTRING (-122.4090674545454 37.79383782954546, -122.4205281422132 37.75073743885415)"
100,28,1.0,6.0,9.0,883,37.7930602,-122.4136756,37.78871765471821,-122.4090009205355,"LINESTRING (-122.4136756 37.7930602, -122.4090009205355 37.78871765471821)","LINESTRING (-122.4136756 37.7930602, -122.4090009205355 37.78871765471821)"
101,28,2.0,13.0,23.0,158,37.79306019548872,-122.41367560150377,37.784944918887184,-122.44528827456274,"LINESTRING (-122.4136756015038 37.79306019548872, -122.4452882745627 37.78494491888718)","LINESTRING (-122.4136756015038 37.79306019548872, -122.4452882745627 37.78494491888718)"
